char	Radical	Four Corner Code	Cangjie input code	Cangjie input code (Chinese)	Hanyu Da Zidian	Kang Xi	Remembering the Traditional Hanzi	RTH keyword	Remembering the Simplified Hanzi	RSH keyword
伴	9 儿	2925.0	OFQ	人火手	10139.010	0096.230	908	partner	983	partner
伵	9 儿		OWC	人田金	10134.030	0097.020				
伶	9 儿	2823.7	OOII	人人戈戈	10137.020	0097.030	2374	actor	2441	actor
伷	9 儿		OLW	人中田	10133.040	0097.040				
伸	9 儿	2520.6	OLWL	人中田中	10133.020	0097.060	851	extend	919	extend
伹	9 儿		OBM	人月一	10133.010	0097.070				
伺	9 儿	2722.0	OSMR	人尸一口	10139.050	0097.080	2757	attend to	2818	attend to
伻	9 儿	2124.9	OMFJ	人一火十	10131.060	0097.090				
似	9 儿	2820.0	OVIO	人女戈人	10127.020	0097.100	797	similar	862	similar
伽	9 儿	2620.0	OKSR	人大尸口	10140.070	0097.120				
伾	9 儿	2121.9	OMFM	人一火一	10131.010	0097.130				
伿	9 儿	2628.0	ORC	人口金	10133.050	0097.140				
佀	9 儿		ORLR	人口中口	10134.010	0097.150				
佁	9 儿	2326.0	OIR	人戈口	10141.040	0097.160				
佂	9 儿		OMYM	人一卜一	10129.110	0097.170				
佃	9 儿	2620.0	OW	人田	10133.030	0097.180				
佄	9 儿		OTM	人廿一	10129.140	0097.190				
佅	9 儿		OJD	人十木	10129.070	0097.200				
但	9 儿	2621.0	OAM	人日一	10132.040	0097.210	747	however	805	however
佇	9 儿	2322.1	OJMN	人十一弓	10139.020	0097.220				
佈	9 儿	2422.7	OKLB	人大中月	10131.030	0098.010	2014	announce		
佉	9 儿	2423.1	OGI	人土戈	10129.120	0098.030				
佊	9 儿		ODHE	人木竹水	10141.010	0098.040				
佋	9 儿		OSHR	人尸竹口	10140.060	0098.050				
佌	9 儿	2121.0	OYMP	人卜一心	10147.060	0098.060				
位	9 儿	2021.8	OYT	人卜廿	10138.030	0098.070	749	position	807	position
低	9 儿	2224.0	OHPM	人竹心一	10137.040	0098.080	1332	low	1375	low
住	9 儿	2021.4	OYG	人卜土	10137.090	0098.090	748	dwell	806	dwell
佐	9 儿	2421.1	OKM	人大一	10130.060	0098.100	2000	assistant	2064	assistant
佑	9 儿	2426.0	OKR	人大口	10131.020	0098.110	1999	bless	2063	bless
佒	9 儿	2523.0	OLBK	人中月大	10133.060	0098.120				
体	9 儿	2523.0	ODM	人木一	10130.010	0098.130			813	body
